"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"73","stFemale","Masculino",103,"p103","female4trigemeas",181.797,1620148305550,1620148487347,3,"2021-05-04 14:01:00","Aceito",3,1,4,4,5,5,5,1,5,8,8,8,8,1,1,"2021-05-04 14:19:44",5,5,5,4,5,5,5,5,5,8,4,5,8,5,5,"Branco","Classe Média","Carpi-PE.","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.66666666666667,4.88888888888889,5.66666666666667,5.83333333333333
"74","stFemale","Masculino",108,"p108","female4math",254.822,1620146670446,1620146925268,3.16227766016838,"2021-05-04 13:45:34","Aceito",4,4,5,5,4,5,5,5,4,8,8,8,8,3,8,"2021-05-04 13:51:44",5,5,4,5,3,5,3,4,5,8,8,8,8,8,8,"Branco","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.55555555555556,4.33333333333333,7.16666666666667,8
"75","stFemale","Masculino",109,"p109","female4math",254.822,1620146670446,1620146925268,3.16227766016838,"2021-05-04 13:45:59","Aceito",4,4,5,5,4,5,5,5,4,8,8,8,8,3,8,"2021-05-04 13:51:44",5,5,4,5,3,5,3,4,5,8,8,8,8,8,8,"Branco","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.55555555555556,4.33333333333333,7.16666666666667,8
"76","stFemale","Masculino",113,"p113","female4bolsas",193.355,1620147503092,1620147696447,3,"2021-05-04 13:58:38","Aceito",4,4,5,5,5,4,3,2,5,8,8,8,8,8,6,"2021-05-04 14:04:30",4,5,4,4,1,4,4,5,5,8,5,4,8,6,6,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.11111111111111,4,7.66666666666667,6.16666666666667
"77","stFemale","Masculino",114,"p114","female4trigemeas",254.721,1620148029071,1620148283792,2.64575131106459,"2021-05-04 14:07:16","Aceito",3,2,3,4,3,3,4,4,3,2,6,6,3,3,3,"2021-05-04 14:30:36",3,2,4,4,4,2,3,4,4,6,6,6,6,2,5,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.22222222222222,3.33333333333333,3.83333333333333,5.16666666666667
"78","stFemale","Masculino",115,"p115","female4trigemeas",202.538,1620143896695,1620144099233,3.3166247903554,"2021-05-04 13:56:42","Aceito",5,1,3,4,5,4,3,3,5,6,8,8,8,7,8,"2021-05-04 14:02:53",3,4,3,1,5,5,5,5,5,8,7,8,5,5,5,"Pardo","Classe Baixa","Lagoa de itaenga Pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.66666666666667,4,7.5,6.33333333333333
"79","stFemale","Masculino",120,"p120","female4math",421.381,1620146814787,1620147236168,2.23606797749979,"2021-05-04 13:47:11","Aceito",4,1,4,5,5,5,3,3,5,8,8,8,8,8,8,"2021-05-04 13:57:32",5,3,4,3,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Classe Média","Lagoa de Itaenga","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.88888888888889,4.44444444444444,8,8
"80","stMale","Feminino",23,"p23","male4enem",291.002,1620147223530,1620147514532,2.23606797749979,"2021-05-04 13:54:01","Aceito",3,3,4,4,3,3,4,4,4,6,7,6,6,6,4,"2021-05-04 14:03:15",3,5,4,3,3,4,4,3,4,7,5,7,6,5,6,"Pardo","Classe Média","Feira Nova","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.55555555555556,3.66666666666667,5.83333333333333,6
"81","stMale","Feminino",33,"p33","male4stem",121.314,1620147511893,1620147633207,4.24264068711928,"2021-05-04 13:58:39","Aceito",2,1,5,5,5,2,3,2,5,7,8,8,8,1,7,"2021-05-04 14:04:28",5,5,1,3,1,5,1,3,5,8,8,3,8,8,1,"Branco","Classe Baixa","Carpi pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.33333333333333,3.22222222222222,6.5,6
"82","stMale","Feminino",37,"p37","male4stem",193.266,1620405819657,1620406012923,2.64575131106459,"2021-05-07 13:43:36","Aceito",4,2,4,4,5,5,1,4,4,8,8,8,8,8,4,"2021-05-07 13:57:39",5,5,4,5,4,3,4,3,5,8,8,8,8,3,6,"Pardo","Classe Média","Carpi","3º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",3.66666666666667,4.22222222222222,7.33333333333333,6.83333333333333
"83","stMale","Feminino",42,"p42","male4tpe",135.498,1620147409337,1620147544835,3.3166247903554,"2021-05-04 13:56:08","Aceito",4,4,5,4,5,4,3,5,4,8,8,8,8,7,2,"2021-05-04 14:00:19",4,3,4,5,4,4,4,4,3,7,4,3,4,5,6,"Pardo","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,"inThreat",4.22222222222222,3.88888888888889,6.83333333333333,4.83333333333333
