"","stType","gender","X","ID","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","condicao","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"35","default","Masculino",130,"p130","",171.647,1620147207959,1620147379606,13,"5/4/21 13:51","Aceito",5,4,5,5,5,4,4,3,5,8,8,8,8,7,7,"5/4/21 13:57",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.444444444,4.222222222,7.666666667,7.166666667
"36","default","Masculino",131,"p131","",171.647,1620147207959,1620147379606,13,"5/4/21 13:50","Aceito",5,4,5,5,5,4,4,3,5,8,8,8,8,7,7,"5/4/21 13:57",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.444444444,4.222222222,7.666666667,7.166666667
"37","default","Masculino",132,"p132","",171.647,1620147207959,1620147379606,13,"5/4/21 13:53","Aceito",5,4,5,5,5,4,4,3,5,7,7,8,7,7,7,"5/4/21 13:57",5,5,4,3,5,4,4,4,4,7,7,8,7,7,7,"Pardo","Classe Média","Carpi-pe","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",4.444444444,4.222222222,7.166666667,7.166666667
"38","default","Masculino",133,"p133","",274.124,1620147157540,1620147431664,11,"5/4/21 13:52","Aceito",3,3,4,5,5,3,2,3,4,7,5,6,7,5,6,"5/4/21 14:00",3,5,3,4,1,3,4,5,2,8,7,5,8,5,4,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,"neutro",3.555555556,3.333333333,6,6.166666667
"39","stFemale","Feminino",22,"p22","female4math",190.557,1619811081811,1619811272368,11,"4/30/21 16:31","Aceito",4,4,5,5,5,5,4,5,4,8,8,8,8,5,5,"4/30/21 16:37",5,4,3,4,2,4,5,3,5,6,7,6,3,3,4,"Pardo","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.43333333335,3.888888889,7,4.833333333
"40","stFemale","Feminino",24,"p24","female4trigemeas",372.012,1619802991593,1619803363605,15,"4/30/21 14:16","Aceito",2,1,1,3,3,2,3,4,3,8,8,8,8,8,8,"4/30/21 14:27",5,1,2,3,4,5,3,2,5,8,8,7,8,1,6,"Branco","Classe Média","Lagoa do Carro","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",2.444444444,3.333333333,8,6.333333333
"41","stFemale","Feminino",31,"p31","female4bolsas",247.075,1620147260144,1620147507219,12,"5/4/21 13:54","Aceito",4,3,2,4,3,3,2,2,4,5,4,3,5,4,3,"5/4/21 14:01",5,2,2,4,4,4,5,4,5,8,8,8,8,1,8,"Pardo","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3,3.888888889,4,6.833333333
"42","stFemale","Feminino",36,"p36","female4math",75.487,1620048887416,1620048962903,7,"5/3/21 10:28","Aceito",3,3,3,3,3,3,3,3,3,6,6,6,7,8,8,"5/3/21 10:31",5,5,4,4,4,4,4,4,5,5,6,6,7,8,7,"Branco","Classe Alta","capi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3,4.333333333,6.833333333,6.5
"43","stFemale","Feminino",55,"p55","female4bolsas",244.243,1620147117665,1620147361908,4,"5/4/21 13:53","Aceito",4,1,5,5,5,5,4,5,5,3,6,4,2,2,2,"5/4/21 14:02",4,3,3,3,4,4,2,4,5,6,2,7,2,1,7,"Branco","Classe Média","LAGOA DE ITAENGA","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.333333333,3.555555556,3.166666667,4.166666667
"44","stFemale","Feminino",57,"p57","female4trigemeas",68.142,1620147315660,1620147383802,5,"5/4/21 13:55","Aceito",4,5,3,5,3,4,5,5,5,5,6,8,5,4,6,"5/4/21 13:57",5,4,5,4,5,4,5,4,5,5,5,5,6,5,6,"Pardo","Classe Média","Tracunhaém","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",4.333333333,4.555555556,5.666666667,5.333333333
"45","stFemale","Feminino",58,"p58","female4bolsas",311.647,1619804978571,1619805290218,14,"4/30/21 14:49","Aceito",3,2,3,5,4,3,3,4,3,8,8,8,7,7,6,"4/30/21 15:00",3,5,3,2,4,3,3,3,4,8,5,6,7,4,4,"Pardo","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,"inBoost",3.333333333,3.333333333,7.333333333,5.666666667
