"","condicao","X","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"30","inBoost",79,"p79","stMale","male4enem",142.624,1619804411764,1619804554388,2,"2021-04-30 14:40:23","Aceito",4,2,4,4,4,4,5,5,5,8,8,8,6,6,7,"2021-04-30 14:48:44",2,5,2,3,3,2,3,4,2,8,7,6,8,6,4,"Branco","Masculino","Classe Média","Carpi","3º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,4.11111111111111,3,7.16666666666667,6.5
"31","inBoost",85,"p85","stMale","male4enem",190.357,1620148061477,1620148251834,11,"2021-05-04 14:07:41","Aceito",3,2,5,5,5,2,1,5,1,8,8,1,5,3,6,"2021-05-04 14:12:41",5,5,5,5,5,5,5,5,5,8,8,8,8,8,6,"Branco","Masculino","Classe Alta","lagoa do carro","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.22222222222222,4.88333333333333,5.16666666666667,7.66666666666667
"32","inBoost",86,"p86","stMale","male4stem",455.27,1620151227284,1620151682554,11,"2021-05-04 15:00:26","Aceito",4,3,4,5,3,4,4,3,5,7,8,8,6,8,6,"2021-05-04 15:13:36",5,5,4,5,5,4,5,5,5,8,8,8,8,8,8,"Indíge","Masculino","Classe Média","zaré da Mata","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.88888888888889,4.77777777777778,7.16666666666667,8
"33","inBoost",88,"p88","stMale","male4enem",226.415,1620152982481,1620153208896,16,"2021-05-04 15:16:46","Aceito",4,4,4,4,5,3,3,5,4,8,8,8,8,6,6,"2021-05-04 15:37:44",4,3,4,4,4,3,4,3,5,7,7,7,6,5,6,"Branco","Masculino","Classe Média","Carpi PE","2º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,4,3.77777777777778,7.33333333333333,6.33333333333333
"34","inBoost",90,"p90","stFemale","female4bolsas",129.907,1620147083272,1620147213179,3,"2021-05-04 13:51:52","Aceito",4,1,5,5,5,5,5,4,5,8,7,8,8,7,8,"2021-05-04 13:55:40",5,5,5,5,5,5,5,5,5,8,8,7,7,8,8,"Pardo","Feminino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,4.33333333333333,4.88333333333333,7.66666666666667,7.66666666666667
"35","inBoost",91,"p91","stMale","male4enem",323.254,1619828752303,1619829075557,20,"2021-04-30 21:13:28","Aceito",4,2,1,4,4,3,5,5,5,7,7,7,7,7,7,"2021-04-30 21:34:41",3,1,4,3,5,5,1,5,5,7,8,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.55555555555556,7,7.16666666666667
"36","inBoost",92,"p92","stMale","male4enem",323.254,1619828752303,1619829075557,20,"2021-04-30 21:03:08","Aceito",4,2,1,4,4,3,5,5,5,7,7,7,7,7,7,"2021-04-30 21:34:41",3,1,4,3,5,5,1,5,5,7,8,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.55555555555556,7,7.16666666666667
"37","inBoost",93,"p93","stMale","male4enem",323.254,1619828752303,1619829075557,20,"2021-04-30 21:09:15","Aceito",4,2,1,4,4,3,5,5,5,7,7,7,7,7,7,"2021-04-30 21:34:41",3,1,4,3,5,5,1,5,5,7,8,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.55555555555556,7,7.16666666666667
"38","inBoost",94,"p94","stMale","male4enem",323.254,1619828752303,1619829075557,20,"2021-04-30 21:00:28","Aceito",4,2,1,4,4,3,5,5,5,7,7,7,7,7,7,"2021-04-30 21:34:41",3,1,4,3,5,5,1,5,5,7,8,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.55555555555556,7,7.16666666666667
"39","inBoost",95,"p95","stMale","male4enem",323.254,1619828752303,1619829075557,20,"2021-04-30 21:26:04","Aceito",4,2,1,4,4,3,5,5,5,7,7,7,7,7,7,"2021-04-30 21:34:41",3,1,4,3,5,5,1,5,5,7,8,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.55555555555556,7,7.16666666666667
"40","inBoost",96,"p96","stMale","male4enem",323.254,1619828752303,1619829075557,20,"2021-04-30 21:02:48","Aceito",4,2,1,4,4,3,5,5,5,7,7,7,7,7,7,"2021-04-30 21:34:41",3,1,4,3,5,5,1,5,5,7,8,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.55555555555556,7,7.16666666666667
"41","inBoost",97,"p97","stMale","male4enem",323.254,1619828752303,1619829075557,20,"2021-04-30 21:10:29","Aceito",4,2,1,4,4,3,5,5,5,7,7,7,7,7,7,"2021-04-30 21:34:41",3,1,4,3,5,5,1,5,5,7,8,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.66666666666667,3.55555555555556,7,7.16666666666667
"42","inBoost",100,"p100","stMale","male4enem",142.432,1620147294890,1620147437322,18,"2021-05-04 13:50:38","Aceito",4,2,2,5,5,1,1,5,5,7,7,7,7,7,7,"2021-05-04 13:58:53",3,1,4,1,5,5,1,1,5,7,7,7,7,7,7,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.33333333333333,3,7,7
"43","inBoost",101,"p101","stMale","male4stem",152.627,1620147359482,1620147512109,4,"2021-05-04 13:55:57","Aceito",4,1,1,5,4,2,2,1,5,8,8,8,8,1,8,"2021-05-04 14:03:18",3,5,2,1,1,3,3,5,4,8,8,8,8,8,8,"Branco","Masculino","Classe Baixa","Carpi PE","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,2.77777777777778,3,6.83333333333333,8
"44","inBoost",102,"p102","stMale","male4tpe",758.952,1619804723327,1619805482279,18,"2021-04-30 14:43:51","Aceito",3,3,4,5,4,3,3,3,2,8,8,8,8,8,8,"2021-04-30 15:12:22",5,5,5,4,5,4,5,4,5,8,8,8,8,6,7,"Pardo","Masculino","Classe Baixa","Lagoa Do Itaenga","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.33333333333333,4.66666666666667,8,7.5
"45","inBoost",104,"p104","stMale","male4tpe",399.878,1619721789039,1619722188917,12,"2021-04-29 15:43:09","Aceito",3,3,4,2,3,3,2,5,5,7,5,8,8,5,5,"2021-04-29 15:55:15",5,3,3,3,5,4,4,2,4,8,8,8,8,1,8,"Pardo","Masculino","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,3.33333333333333,3.66666666666667,6.33333333333333,6.83333333333333
"46","inBoost",110,"p110","stMale","male4tpe",536.301,1619804542557,1619805078858,15,"2021-04-30 14:42:33","Aceito",4,3,2,3,3,1,1,5,3,7,7,7,6,5,3,"2021-04-30 14:58:06",4,1,3,5,5,4,4,5,3,8,4,8,8,4,4,"Pardo","Masculino","Classe Baixa","Araçoiaba","1º ano - Ensino Médio Técnico",TRUE,FALSE,FALSE,2.77777777777778,3.77777777777778,5.83333333333333,6
