"","condicao","X","ID","stType","boostId","time.s.","startTime","endTime","points","subDate.resp","TCLE","dfs.i10","dfs.i20","dfs.i4","dfs.i21","dfs.i32","dfs.i24","dfs.i7","dfs.i17","dfs.i36","pre.c1","pre.c2","pre.c3","pre.c4","pre.c5","pre.c6","subDate.pos","fss.i4","fss.i7","fss.i10","fss.i11","fss.i17","fss.i21","fss.i24","fss.i27","fss.i32","pos.c1","pos.c2","pos.c3","pos.c4","pos.c5","pos.c6","etnia","gender","economic.class","city","edLevel","inBoost","inThreat","notInTreatAndNotInBoost","dfs","fss","autoeficacia.pre","autoeficacia.pos"
"68","inThreat",34,"p34","stFemale","female4trigemeas",199.696,1620149442104,1620149641800,6,"2021-05-04 14:30:40","Aceito",4,3,2,4,4,3,4,5,5,8,8,8,6,6,5,"2021-05-04 14:36:18",3,4,2,2,5,3,2,3,3,8,8,6,7,6,7,"Branco","Masculino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.77777777777778,3,6.83333333333333,7
"69","inThreat",37,"p37","stMale","male4stem",193.266,1620405819657,1620406012923,14,"2021-05-07 13:43:36","Aceito",4,2,4,4,5,5,1,4,4,8,8,8,8,8,4,"2021-05-07 13:57:39",5,5,4,5,4,3,4,3,5,8,8,8,8,3,6,"Pardo","Feminino","Classe Média","Carpi","3º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,4.22222222222222,7.33333333333333,6.83333333333333
"70","inThreat",42,"p42","stMale","male4tpe",135.498,1620147409337,1620147544835,10,"2021-05-04 13:56:08","Aceito",4,4,5,4,5,4,3,5,4,8,8,8,8,7,2,"2021-05-04 14:00:19",4,3,4,5,4,4,4,4,3,7,4,3,4,5,6,"Pardo","Feminino","Classe Média","Araçoiaba","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.22222222222222,3.88888888888889,6.83333333333333,4.83333333333333
"71","inThreat",44,"p44","stMale","male4tpe",441.996,1620178776422,1620179218418,17,"2021-05-04 22:39:34","Aceito",3,2,2,3,2,2,3,3,3,6,6,6,5,6,5,"2021-05-04 22:52:18",4,5,4,4,2,2,3,3,2,8,8,7,7,6,6,"Pardo","Feminino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,2.82222222222222,3.22222222222222,5.66666666666667,7
"72","inThreat",45,"p45","stFemale","female4math",92.905,1620146951875,1620147044780,4,"2021-05-04 13:49:06","Aceito",4,2,4,5,5,4,5,4,5,2,6,6,5,4,5,"2021-05-04 13:52:30",4,4,3,2,4,5,4,3,2,4,7,6,8,7,6,"Pardo","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.22222222222222,3.44444444444444,4.66666666666667,6.33333333333333
"74","inThreat",47,"p47","stMale","male4stem",230.14,1620149378860,1620149609000,15,"2021-05-04 14:24:39","Aceito",3,3,2,3,4,3,2,3,4,4,4,4,4,3,3,"2021-05-04 14:35:42",3,2,3,2,3,3,2,4,4,3,1,3,2,3,3,"Indíge","Feminino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3,2.88888888888889,3.66666666666667,2.5
"75","inThreat",50,"p50","stMale","male4tpe",156.221,1619715430599,1619715586820,3,"2021-04-29 13:56:02","Aceito",3,3,2,3,4,3,4,5,3,8,8,8,8,4,4,"2021-04-29 14:01:49",3,5,4,2,2,4,2,4,3,8,8,8,7,5,7,"Pardo","Feminino","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.33333333333333,3.22222222222222,6.66666666666667,7.16666666666667
"76","inThreat",53,"p53","stMale","male4tpe",1200.882,1619715620442,1619716821324,4,"2021-04-29 14:00:27","Aceito",4,2,4,5,5,4,5,5,4,8,5,6,5,6,7,"2021-04-29 14:29:39",4,5,4,4,5,4,3,3,4,8,8,8,8,4,5,"Pardo","Feminino","Classe Média","Paudalho- Pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.22222222222222,4,6.16666666666667,6.83333333333333
"77","inThreat",54,"p54","stMale","male4tpe",1200.882,1619715620442,1619716821324,4,"2021-04-29 13:56:37","Aceito",4,2,4,5,5,4,5,5,4,8,5,6,5,6,7,"2021-04-29 14:29:39",4,5,4,4,5,4,3,3,4,8,8,8,8,4,5,"Pardo","Feminino","Classe Média","Paudalho- Pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.22222222222222,4,6.16666666666667,6.83333333333333
"78","inThreat",62,"p62","stFemale","female4bolsas",768.621,1620147822156,1620148590777,15,"2021-05-04 14:03:39","Aceito",3,2,3,3,4,4,2,5,3,2,8,6,8,1,8,"2021-05-04 14:24:24",5,3,3,3,3,4,3,3,3,8,8,8,8,2,1,"Branco","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.22222222222222,3.33333333333333,5.5,5.83333333333333
"79","inThreat",63,"p63","stMale","male4tpe",527.761,1620154986342,1620155514103,12,"2021-05-04 16:03:22","Aceito",4,4,3,4,4,4,5,5,5,6,6,6,8,8,8,"2021-05-04 16:16:29",3,4,4,3,3,4,3,4,4,8,8,8,8,6,6,"Pardo","Feminino","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.22222222222222,3.55555555555556,7,7.33333333333333
"80","inThreat",64,"p64","stFemale","female4trigemeas",120.627,1620147256143,1620147376770,2,"2021-05-04 13:54:15","Aceito",2,3,1,4,5,2,3,1,4,3,5,1,3,8,5,"2021-05-04 13:57:26",2,5,3,2,4,1,4,1,3,2,3,1,6,4,3,"Negro","Masculino","Classe Média","Carpi/pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,2.82222222222222,2.88888888888889,4.16666666666667,3.16666666666667
"81","inThreat",69,"p69","stMale","male4stem",6113.038,1620155506416,1620161619454,13,"2021-05-04 16:12:04","Aceito",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"2021-05-04 17:56:59",5,5,5,4,5,4,4,5,5,8,8,8,8,3,8,"Branco","Feminino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.51111111111111,4.62222222222223,8,7.16666666666667
"82","inThreat",70,"p70","stFemale","female4trigemeas",538.665,1620154823326,1620155361991,9,"2021-05-04 16:01:16","Aceito",4,3,2,4,4,4,2,4,5,5,5,6,5,4,2,"2021-05-04 16:15:21",3,5,4,2,5,3,4,3,4,6,7,2,6,1,7,"Pardo","Masculino","Classe Baixa","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.55555555555556,3.66666666666667,4.5,4.83333333333333
"83","inThreat",71,"p71","stFemale","female4trigemeas",265.956,1620149590002,1620149855958,12,"2021-05-04 14:33:27","Aceito",5,3,5,5,4,5,3,5,5,8,8,7,4,6,3,"2021-05-04 14:42:29",4,4,3,5,2,5,3,5,5,8,7,6,5,3,3,"Pardo","Masculino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.44444444444444,4,6,5.33333333333333
"84","inThreat",73,"p73","stFemale","female4trigemeas",255.959,1619716206746,1619716462705,9,"2021-04-29 14:10:02","Aceito",4,3,5,4,5,3,4,4,5,4,4,3,6,3,3,"2021-04-29 14:16:47",5,5,4,4,5,5,4,4,3,4,3,3,4,4,3,"Branco","Masculino","Classe Baixa","PAUDALHO","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.11111111111111,4.33333333333333,3.83333333333333,3.5
"85","inThreat",76,"p76","stMale","male4stem",113.915,1620148247641,1620148361556,12,"2021-05-04 14:10:43","Aceito",3,2,3,4,3,3,3,4,3,8,8,8,8,1,1,"2021-05-04 14:15:18",4,5,3,3,3,4,4,5,4,8,8,8,8,1,1,"Branco","Feminino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.11111111111111,3.88888888888889,5.66666666666667,5.66666666666667
"86","inThreat",78,"p78","stFemale","female4bolsas",88.546,1620147499038,1620147587584,2,"2021-05-04 13:58:19","Aceito",4,1,5,5,5,3,4,4,5,8,8,1,8,4,1,"2021-05-04 14:00:53",5,3,5,4,5,5,5,5,5,7,8,6,5,5,5,"Amarelo","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4,4.62222222222223,5,6
"87","inThreat",80,"p80","stFemale","female4bolsas",1853.976,1619834105492,1619835959468,19,"2021-04-30 22:55:01","Aceito",5,4,3,4,4,2,3,5,5,8,8,8,8,8,8,"2021-04-30 23:34:40",4,2,5,5,5,2,3,5,5,8,8,8,8,8,8,"Branco","Masculino","Classe Média","carpi","3º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.88888888888889,4,8,8
"88","inThreat",83,"p83","stFemale","female4math",258.046,1620147038383,1620147296429,13,"2021-05-04 13:50:37","Aceito",4,2,4,5,4,5,5,3,5,8,8,8,8,6,8,"2021-05-04 13:56:45",4,5,4,3,3,5,5,5,5,8,8,8,6,5,6,"Pardo","Masculino","Classe Média","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.11111111111111,4.33333333333333,7.66666666666667,6.83333333333333
"89","inThreat",84,"p84","stFemale","female4trigemeas",133.71,1620147565910,1620147699620,3,"2021-05-04 13:59:44","Aceito",4,2,3,5,5,4,3,4,5,4,5,4,4,5,4,"2021-05-04 14:03:18",3,4,4,4,4,5,4,5,4,5,6,6,5,6,5,"Pardo","Masculino","Classe Média","Tracunhaém","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.88888888888889,4.11111111111111,4.33333333333333,5.5
"90","inThreat",89,"p89","stFemale","female4bolsas",161.565,1620147118715,1620147280280,3,"2021-05-04 13:52:15","Aceito",4,2,4,5,3,4,3,4,2,8,8,4,3,3,8,"2021-05-04 13:56:20",4,3,4,3,4,4,3,4,5,6,8,3,8,7,5,"Pardo","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.44444444444444,3.77777777777778,5.66666666666667,6.16666666666667
"91","inThreat",98,"p98","stMale","male4stem",288.435,1619808725383,1619809013818,9,"2021-04-30 15:49:54","Aceito",2,4,4,2,5,4,3,4,5,8,8,8,7,7,7,"2021-04-30 15:57:26",4,3,3,1,4,4,5,4,5,8,7,7,6,7,6,"Negro","Feminino","Classe Baixa","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,3.66666666666667,7.5,6.83333333333333
"92","inThreat",103,"p103","stFemale","female4trigemeas",181.797,1620148305550,1620148487347,12,"2021-05-04 14:01:00","Aceito",3,1,4,4,5,5,5,1,5,8,8,8,8,1,1,"2021-05-04 14:19:44",5,5,5,4,5,5,5,5,5,8,4,5,8,5,5,"Branco","Masculino","Classe Média","Carpi-PE.","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,4.62222222222223,5.66666666666667,5.83333333333333
"93","inThreat",105,"p105","stMale","male4enem",428.454,1620149890021,1620150318475,12,"2021-05-04 14:38:09","Aceito",4,4,3,5,5,4,3,3,4,8,8,8,5,5,8,"2021-05-04 14:50:29",4,3,4,3,3,5,4,4,4,8,8,7,6,8,8,"Pardo","Feminino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.88888888888889,3.77777777777778,7,7.5
"94","inThreat",108,"p108","stFemale","female4math",254.822,1620146670446,1620146925268,11,"2021-05-04 13:45:34","Aceito",4,4,5,5,4,5,5,5,4,8,8,8,8,3,8,"2021-05-04 13:51:44",5,5,4,5,3,5,3,4,5,8,8,8,8,8,8,"Branco","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.51111111111111,4.33333333333333,7.16666666666667,8
"95","inThreat",109,"p109","stFemale","female4math",254.822,1620146670446,1620146925268,11,"2021-05-04 13:45:59","Aceito",4,4,5,5,4,5,5,5,4,8,8,8,8,3,8,"2021-05-04 13:51:44",5,5,4,5,3,5,3,4,5,8,8,8,8,8,8,"Branco","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.51111111111111,4.33333333333333,7.16666666666667,8
"96","inThreat",113,"p113","stFemale","female4bolsas",193.355,1620147503092,1620147696447,12,"2021-05-04 13:58:38","Aceito",4,4,5,5,5,4,3,2,5,8,8,8,8,8,6,"2021-05-04 14:04:30",4,5,4,4,1,4,4,5,5,8,5,4,8,6,6,"Pardo","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,4.11111111111111,4,7.66666666666667,6.16666666666667
"97","inThreat",114,"p114","stFemale","female4trigemeas",254.721,1620148029071,1620148283792,14,"2021-05-04 14:07:16","Aceito",3,2,3,4,3,3,4,4,3,2,6,6,3,3,3,"2021-05-04 14:30:36",3,2,4,4,4,2,3,4,4,6,6,6,6,2,5,"Pardo","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.22222222222222,3.33333333333333,3.83333333333333,5.16666666666667
"98","inThreat",115,"p115","stFemale","female4trigemeas",202.538,1620143896695,1620144099233,10,"2021-05-04 13:56:42","Aceito",5,1,3,4,5,4,3,3,5,6,8,8,8,7,8,"2021-05-04 14:02:53",3,4,3,1,5,5,5,5,5,8,7,8,5,5,5,"Pardo","Masculino","Classe Baixa","Lagoa de itaenga Pe","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,4,7.5,6.33333333333333
"99","inThreat",120,"p120","stFemale","female4math",421.381,1620146814787,1620147236168,16,"2021-05-04 13:47:11","Aceito",4,1,4,5,5,5,3,3,5,8,8,8,8,8,8,"2021-05-04 13:57:32",5,3,4,3,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Masculino","Classe Média","Lagoa de Itaenga","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.88888888888889,4.44444444444444,8,8
"100","inThreat",135,"p135","stMale","male4enem",686.563,1620147795360,1620148481923,17,"2021-05-04 14:03:10","Aceito",3,4,2,2,4,4,1,5,4,4,6,5,5,3,2,"2021-05-04 14:20:19",5,1,1,3,2,3,3,3,4,8,8,1,4,1,4,"Pardo","Feminino","Classe Baixa","carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.22222222222222,2.88888888888889,4.16666666666667,4.33333333333333
"101","inThreat",137,"p137","stMale","male4stem",349.911,1620146870856,1620147220767,14,"2021-05-04 13:47:49","Aceito",3,2,4,5,4,3,4,4,4,5,5,7,7,7,5,"2021-05-04 13:57:24",3,2,3,3,3,2,3,5,3,8,4,8,8,4,8,"Negro","Feminino","Classe Média","Vicência","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.66666666666667,3,6,6.66666666666667
"102","inThreat",138,"p138","stMale","male4tpe",383.194,1620147468394,1620147851588,11,"2021-05-04 13:58:05","Aceito",3,1,1,5,5,3,1,3,3,1,1,1,1,1,1,"2021-05-04 14:10:11",3,3,1,1,1,5,3,5,4,8,8,1,8,1,1,"Negro","Feminino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,2.82222222222222,2.88888888888889,1,4.5
"103","inThreat",139,"p139","stMale","male4tpe",383.194,1620147468394,1620147851588,11,"2021-05-04 13:55:40","Aceito",4,1,3,5,5,3,1,3,3,1,2,1,1,1,1,"2021-05-04 14:10:11",3,3,1,1,1,5,3,5,4,8,8,1,8,1,1,"Negro","Feminino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.11111111111111,2.88888888888889,1.16666666666667,4.5
"104","inThreat",141,"p141","stMale","male4enem",114.94,1619716184915,1619716299855,6,"2021-04-29 14:08:43","Aceito",2,3,3,4,4,5,4,5,5,8,8,8,1,3,1,"2021-04-29 14:14:21",4,5,1,4,5,3,3,1,3,8,8,1,1,1,8,"Pardo","Feminino","Classe Baixa","Paudalho","1º ano - Ensino Médio Técnico",FALSE,TRUE,FALSE,3.88888888888889,3.22222222222222,4.83333333333333,4.5
"105","neutro",14,"p14","default",NA,27.094,1620126554844,1620126581938,1,"2021-05-04 08:09:13","Aceito",3,2,4,2,4,2,4,3,2,7,3,5,6,6,6,"2021-05-04 08:10:21",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,"Negro","Feminino","Classe Média",NA,"2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,2.88888888888889,4,5.5,4
"106","neutro",17,"p17","default",NA,290.597,1620149496614,1620149787211,12,"2021-05-04 14:31:36","Aceito",5,5,5,4,4,5,5,3,5,8,8,8,8,8,8,"2021-05-04 14:38:27",3,5,4,3,3,4,4,4,4,8,8,8,3,1,1,"Negro","Masculino","Classe Média","Carpi PE","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.55555555555556,3.77777777777778,8,4.83333333333333
"107","neutro",18,"p18","default",NA,169.277,1619809804544,1619809973821,15,"2021-04-30 16:04:07","Aceito",5,3,3,4,4,5,5,5,5,8,8,8,6,8,6,"2021-04-30 16:18:35",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Pardo","Masculino","Classe Média","Araçoiaba","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.33333333333333,4.79361111111111,7.33333333333333,8
"108","neutro",21,"p21","default",NA,287.373,1620147109280,1620147396653,11,"2021-05-04 13:51:43","Aceito",3,4,3,5,4,4,1,4,5,8,8,8,7,7,4,"2021-05-04 13:59:54",2,5,4,5,5,4,5,3,4,8,3,2,8,1,8,"Amarelo","Masculino","Classe Baixa","lagoa do itaenga","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.66666666666667,4.11111111111111,7,5
"109","neutro",25,"p25","default",NA,314.21,1619802968480,1619803282690,13,"2021-04-30 14:16:03","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"2021-04-30 14:22:20",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Masculino","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.66666666666667,4.11111111111111,7.33333333333333,6.83333333333333
"110","neutro",26,"p26","default",NA,314.21,1619802968480,1619803282690,13,"2021-04-30 14:15:28","Aceito",4,2,4,5,4,4,3,3,4,6,6,8,8,8,8,"2021-04-30 14:22:20",4,4,4,3,5,3,5,4,5,7,7,8,5,8,6,"Pardo","Masculino","Classe Média","Carpi PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.66666666666667,4.11111111111111,7.33333333333333,6.83333333333333
"111","neutro",35,"p35","default",NA,265.217,1620151495115,1620151760332,14,"2021-05-04 15:04:53","Aceito",3,3,3,5,4,3,2,2,3,8,8,8,8,8,7,"2021-05-04 15:13:40",5,5,4,4,3,5,4,2,2,8,5,6,8,4,4,"Pardo","Feminino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.11111111111111,3.77777777777778,7.83333333333333,5.83333333333333
"112","neutro",39,"p39","default",NA,358.679,1620157612216,1620157970895,11,"2021-05-04 16:47:01","Aceito",3,1,4,4,5,4,1,3,4,8,8,8,8,6,7,"2021-05-04 16:57:11",4,5,4,3,3,4,5,4,5,8,7,6,7,6,6,"Pardo","Masculino","Classe Média","Lagoa de Itaenga","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.22222222222222,4.11111111111111,7.5,6.66666666666667
"113","neutro",41,"p41","default",NA,272.729,1620146891206,1620147163935,15,"2021-05-04 13:48:29","Aceito",3,2,3,4,4,3,2,3,5,8,8,8,8,5,7,"2021-05-04 13:57:11",4,2,3,2,3,3,3,3,4,8,8,7,7,5,6,"Negro","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.22222222222222,3,7.33333333333333,6.83333333333333
"114","neutro",43,"p43","default",NA,278.712,1620227798912,1620228077624,16,"2021-05-05 12:16:33","Aceito",3,4,4,5,4,4,5,4,5,8,8,8,8,8,8,"2021-05-05 12:25:28",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"Negro","Feminino","Classe Média","Araçoiaba- PE","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.22222222222222,4.79361111111111,8,8
"115","neutro",51,"p51","default",NA,351.77,1619716644364,1619716996134,11,"2021-04-29 14:15:14","Aceito",3,2,4,5,3,4,3,2,5,4,3,2,1,1,4,"2021-04-29 14:26:51",4,4,3,2,2,3,3,3,4,5,3,3,4,3,3,"Pardo","Masculino","Classe Média","Paudalho - Permbuco","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.44444444444444,3.11111111111111,2.5,3.5
"116","neutro",52,"p52","default",NA,147.414,1619836949913,1619837097327,11,"2021-04-30 23:42:40","Aceito",2,1,3,5,5,4,1,5,5,2,4,7,8,6,6,"2021-04-30 23:47:00",3,5,3,4,1,5,5,5,5,3,4,3,7,8,7,"Pardo","Feminino","Classe Baixa","Carpi - Permbuco","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.44444444444444,4,5.5,5.33333333333333
"117","neutro",56,"p56","default",NA,103.844,1619715425174,1619715529018,4,"2021-04-29 13:57:03","Aceito",3,3,3,4,4,4,4,4,3,5,5,5,5,5,5,"2021-04-29 14:29:15",4,5,3,3,3,3,4,3,4,5,7,7,6,5,6,"Pardo","Feminino","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.55555555555556,3.55555555555556,5,6
"118","neutro",60,"p60","default",NA,214.881,1619715426212,1619715641093,13,"2021-04-29 13:57:02","Aceito",1,2,1,3,3,3,1,5,1,8,8,8,8,7,6,"2021-04-29 14:02:42",1,5,5,3,3,3,1,1,1,8,4,6,5,5,1,"Branco","Masculino","Classe Média","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,2.82222222222222,2.88888888888889,7.5,4.83333333333333
"119","neutro",61,"p61","default",NA,177.307,1619716986493,1619717163800,6,"2021-04-29 14:23:03","Aceito",3,2,2,3,3,2,1,5,5,4,5,5,6,7,8,"2021-04-29 14:32:31",4,2,3,2,2,4,3,2,4,6,1,5,7,4,3,"Pardo","Feminino","Classe Média","paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,2.88888888888889,2.88888888888889,5.83333333333333,4.33333333333333
"120","neutro",72,"p72","default",NA,360.825,1619714802555,1619715163380,14,"2021-04-29 13:41:08","Aceito",5,4,4,3,5,5,1,5,5,8,8,8,8,8,8,"2021-04-29 14:02:01",5,5,3,5,3,5,5,4,2,8,8,8,8,7,8,"Branco","Masculino","Classe Média","JARDIM BRASIL oLINDA","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.11111111111111,4.11111111111111,8,7.83333333333333
"121","neutro",75,"p75","default",NA,283.066,1619803898938,1619804182004,12,"2021-04-30 14:31:38","Aceito",5,3,4,5,5,5,3,3,5,7,7,7,5,5,5,"2021-04-30 14:42:42",4,3,4,4,1,5,5,4,5,8,8,7,8,5,6,"Pardo","Feminino","Classe Média","Carpi- PE","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.22222222222222,3.88888888888889,6,7
"122","neutro",77,"p77","default",NA,388.422,1619829720506,1619830108928,14,"2021-04-30 21:41:59","Aceito",5,5,5,5,5,5,5,5,5,8,8,8,8,8,8,"2021-04-30 21:53:00",5,5,5,4,4,5,5,5,5,8,8,8,8,8,8,"Amarelo","Masculino","Classe Média","Carpi","3º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.57222222222223,4.77777777777778,8,8
"123","neutro",81,"p81","default",NA,394.778,1619809400798,1619809795576,16,"2021-04-30 16:05:46","Aceito",5,2,3,4,4,3,1,5,5,8,8,8,7,7,8,"2021-04-30 16:17:52",4,2,5,5,3,5,4,3,5,8,8,8,8,8,8,"Branco","Feminino","Classe Média","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.55555555555556,4,7.66666666666667,8
"124","neutro",82,"p82","default",NA,394.778,1619809400798,1619809795576,16,"2021-04-30 16:04:08","Aceito",5,2,3,4,4,3,1,5,5,8,8,8,7,7,8,"2021-04-30 16:17:52",4,2,5,5,3,5,4,3,5,8,8,8,8,8,8,"Branco","Feminino","Classe Média","Tracunhaém","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.55555555555556,4,7.66666666666667,8
"125","neutro",87,"p87","default",NA,273.339,1619804968820,1619805242159,13,"2021-04-30 14:49:28","Aceito",3,2,4,3,4,4,1,5,4,8,8,8,8,5,6,"2021-04-30 14:56:49",5,2,3,2,3,5,4,4,5,8,8,8,8,1,8,"Pardo","Masculino","Classe Média","Carpi","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.33333333333333,3.66666666666667,7.16666666666667,6.83333333333333
"126","neutro",99,"p99","default",NA,220.268,1620146789742,1620147010010,12,"2021-05-04 13:46:27","Aceito",3,4,5,4,4,5,4,5,3,8,8,8,7,8,7,"2021-05-04 13:53:11",4,4,2,2,5,3,4,4,5,7,8,5,6,1,4,"Pardo","Feminino","Classe Média","carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,4.11111111111111,3.66666666666667,7.66666666666667,5.16666666666667
"127","neutro",106,"p106","default",NA,291.052,1619714172840,1619714463892,12,"2021-04-29 13:36:09","Aceito",3,3,2,5,3,2,4,5,2,6,6,7,4,4,3,"2021-04-29 13:44:03",3,2,2,4,5,5,4,3,2,5,6,7,5,7,5,"Pardo","Masculino","Classe Média","Paudalho","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.22222222222222,3.33333333333333,5,5.83333333333333
"128","neutro",107,"p107","default",NA,292.125,1619714172840,1619714464965,12,"2021-04-29 13:36:09","Aceito",3,3,2,5,3,2,4,5,2,6,6,7,4,4,3,"2021-04-29 13:44:03",3,2,2,4,5,5,4,3,2,5,6,7,5,7,5,"Pardo","Masculino","Classe Média","Paudalho","2º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.22222222222222,3.33333333333333,5,5.83333333333333
"129","neutro",112,"p112","default",NA,326.475,1619715775330,1619716101805,15,"2021-04-29 14:02:53","Aceito",3,2,2,5,4,4,5,5,3,5,7,6,6,8,6,"2021-04-29 14:13:41",4,5,4,3,1,5,4,3,5,7,2,7,6,3,2,"Branco","Masculino","Classe Baixa","Paudalho","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.66666666666667,3.77777777777778,6.33333333333333,4.5
"130","neutro",116,"p116","default",NA,448.879,1620148440976,1620148889855,11,"2021-05-04 14:13:46","Aceito",5,2,2,4,5,3,4,4,3,8,8,8,8,8,8,"2021-05-04 14:33:50",3,5,4,3,4,3,3,4,5,8,8,8,8,5,8,"Branco","Masculino","Classe Baixa","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,3.55555555555556,3.77777777777778,8,7.5
"131","neutro",117,"p117","default",NA,362.206,1620147096610,1620147458816,18,"2021-05-04 13:50:45","Aceito",4,3,2,2,3,3,1,1,3,8,8,8,8,8,8,"2021-05-04 14:00:52",5,3,4,1,1,5,5,4,5,8,8,8,8,8,8,"Pardo","Masculino","Classe Média","Carpi","1º ano - Ensino Médio Técnico",FALSE,FALSE,TRUE,2.82222222222222,3.66666666666667,8,8
